ID,city,city_ascii,lat,lng,fed,province / region,Timezone
70,Melbourne,Melbourne,-37.82,144.975,AU,Victoria,Sydney: UTC+11(+10)
71,Alexandria,Alexandria,31.2,29.95,EG,Al Iskandarīyah,Cairo: UTC+2(+3)
72,Chengdu,Chengdu,30.67,104.07,CN,Sichuan,Shanghai: UTC+8
73,Yangon,Yangon,16.7834,96.1667,MM,Yangon,Yangon: UTC+6.5
74,Phoenix,Phoenix,33.5722,-112.089,US,Arizona,Phoenix: UTC-7
75,Xi’an,Xi'an,34.275,108.895,CN,Shaanxi,Shanghai: UTC+8
76,Porto Alegre,Porto Alegre,-30.05,-51.2,BR,Rio Grande do Sul,São_Paulo: UTC-3
77,Sūrat,Surat,21.2,72.84,IN,Gujarāt,Mumbai: UTC+5.5
78,Hechi,Hechi,23.0965,109.6091,CN,Guangxi,Shanghai: UTC+8
79,Abidjan,Abidjan,5.32,-4.04,CI,Abidjan,Abidjan: UTC±0
80,Brasília,Brasilia,-15.7833,-47.9161,BR,Distrito Federal,São_Paulo: UTC-3
81,Ankara,Ankara,39.9272,32.8644,TR,Ankara,Istanbul: UTC+3
82,Monterrey,Monterrey,25.67,-100.33,MX,Nuevo León,Mexico_City: UTC-6
83,Yokohama,Yokohama,35.32,139.58,JP,Kanagawa,Tokyo: UTC+9
84,Nanjing,Nanjing,32.05,118.78,CN,Jiangsu,Shanghai: UTC+8
85,Montréal,Montreal,45.5,-73.5833,QUEBEC,Québec,New_York: UTC-5(-4)
86,Guiyang,Guiyang,26.58,106.72,CN,Guizhou,Shanghai: UTC+8
87,Recife,Recife,-8.0756,-34.9156,BR,Pernambuco,São_Paulo: UTC-3
88,Seattle,Seattle,47.6211,-122.324,US,Washington,Los_Angeles: UTC-8(-7)
89,Harbin,Harbin,45.75,126.65,CN,Heilongjiang,Shanghai: UTC+8
90,San Francisco,San Francisco,37.7562,-122.443,US,California,Los_Angeles: UTC-8(-7)
91,Fortaleza,Fortaleza,-3.75,-38.58,BR,Ceará,São_Paulo: UTC-3
92,Zhangzhou,Zhangzhou,24.5204,117.67,CN,Fujian,Shanghai: UTC+8
93,Detroit,Detroit,42.3834,-83.1024,US,Michigan,New_York: UTC-5(-4)
94,Salvador,Salvador,-12.97,-38.48,BR,Bahia,São_Paulo: UTC-3
95,Busan,Busan,35.0951,129.01,KR,Busan,Tokyo: UTC+9
96,Johannesburg,Johannesburg,-26.17,28.03,ZA,Gauteng,Johannesburg: UTC+2
97,Berlin,Berlin,52.5218,13.4015,DE,Berlin,Paris: UTC+1(+2)
98,Algiers,Algiers,36.7631,3.0506,DZ,Alger,Lagos: UTC+1
99,Rome,Rome,41.896,12.4833,IT,Lazio,Paris: UTC+1(+2)
100,Pyongyang,Pyongyang,39.0194,125.7547,KP,P’yŏngyang,Tokyo: UTC+9
101,Medellín,Medellin,6.275,-75.575,CO,Antioquia,Lima: UTC-5
102,Kabul,Kabul,34.5167,69.1833,AF,Kābul,Kabul: UTC+4.5
103,Athens,Athens,37.9833,23.7333,GR,Attikí,Athens: UTC+2(+3)
104,Nagoya,Nagoya,35.155,136.915,JP,Aichi,Tokyo: UTC+9
105,Cape Town,Cape Town,-33.92,18.435,ZA,Western Cape,Johannesburg: UTC+2
106,San Diego,San Diego,32.8312,-117.123,US,California,Los_Angeles: UTC-8(-7)
107,Changchun,Changchun,43.865,125.34,CN,Jilin,Shanghai: UTC+8
108,Casablanca,Casablanca,33.6,-7.6164,MA,Casablanca-Settat,Casablanca: UTC±0(+1)
109,Dalian,Dalian,38.9228,121.6298,CN,Liaoning,Shanghai: UTC+8
110,Cawnpore,Cawnpore,26.46,80.32,IN,Uttar Pradesh,Mumbai: UTC+5.5
111,Kano,Kano,12,8.52,NG,Kano,Lagos: UTC+1
112,Tel Aviv-Yafo,Tel Aviv-Yafo,32.08,34.77,IL,Tel Aviv,Jerusalem: UTC+2(+3)
113,Addis Ababa,Addis Ababa,9.0333,38.7,ET,Ādīs Ābeba,Istanbul: UTC+3
114,Curitiba,Curitiba,-25.42,-49.32,BR,Paraná,São_Paulo: UTC-3
115,Zibo,Zibo,36.8,118.05,CN,Shandong,Shanghai: UTC+8
116,Jeddah,Jeddah,21.5169,39.2192,SA,Makkah al Mukarramah,Istanbul: UTC+3
117,Nairobi,Nairobi,-1.2833,36.8167,KE,Nairobi City,Istanbul: UTC+3
118,Hangzhou,Hangzhou,30.25,120.17,CN,Zhejiang,Shanghai: UTC+8
119,Benoni,Benoni,-26.1496,28.3299,ZA,Gauteng,Johannesburg: UTC+2
120,Caracas,Caracas,10.501,-66.917,VE,Distrito Capital,Caracas: UTC-4
