due_date,game_code,usa_player_id,ussr_player_id,random
2026-05-27,F117,3051,2535,0
2026-05-27,F118,2535,3051,1
2026-05-27,F119,3051,2535,0
2026-05-27,F125,3100,1665,1
2026-05-27,F126,1665,3100,0
2026-05-27,F127,3100,1665,1
